,size,method
0,3,susie_blip
1,6,susie_blip
2,1,susie_blip
3,1,susie_blip
4,1,susie_blip
5,1,susie_blip
6,1,susie_blip
7,1,susie_blip
8,1,susie_blip
9,1,susie_blip
10,1,susie_blip
11,2,susie_blip
12,1,susie_blip
13,1,susie_blip
14,16,susie_blip
15,1,susie_blip
16,1,susie_blip
17,2,susie_blip
18,1,susie_blip
19,2,susie_blip
20,5,susie_blip
21,1,susie_blip
22,1,susie_blip
23,1,susie_blip
24,14,susie_blip
25,1,susie_blip
26,1,susie_blip
27,8,susie_blip
28,21,susie_blip
29,1,susie_blip
30,3,susie_blip
31,3,susie_blip
32,1,susie_blip
33,14,susie_blip
34,3,susie_blip
35,6,susie_blip
36,2,susie_blip
37,7,susie_blip
38,10,susie_blip
39,3,susie_blip
40,1,susie_blip
41,1,susie_blip
42,1,susie_blip
43,2,susie_blip
44,5,susie_blip
45,5,susie_blip
46,2,susie_blip
47,5,susie_blip
48,1,susie_blip
49,2,susie_blip
50,10,susie_blip
51,7,susie_blip
52,1,susie_blip
53,19,susie_blip
54,7,susie_blip
55,9,susie_blip
56,20,susie_blip
57,8,susie_blip
58,3,susie_blip
59,25,susie_blip
60,7,susie_blip
61,10,susie_blip
62,9,susie_blip
63,2,susie_blip
64,1,susie_blip
65,13,susie_blip
66,2,susie_blip
67,5,susie_blip
68,10,susie_blip
69,11,susie_blip
70,10,susie_blip
71,3,susie_blip
72,5,susie_blip
73,7,susie_blip
74,2,susie_blip
75,9,susie_blip
76,1,susie_blip
77,1,susie_blip
78,5,susie_blip
79,5,susie_blip
80,11,susie_blip
81,19,susie_blip
82,14,susie_blip
83,11,susie_blip
84,22,susie_blip
85,1,susie_blip
86,2,susie_blip
87,25,susie_blip
88,3,susie_blip
89,3,susie_blip
90,4,susie_blip
91,10,susie_blip
92,3,susie_blip
93,13,susie_blip
94,14,susie_blip
95,24,susie_blip
96,1,susie_blip
97,6,susie_blip
98,11,susie_blip
99,2,susie_blip
100,3,susie_blip
101,3,susie_blip
102,4,susie_blip
103,25,susie_blip
104,18,susie_blip
105,19,susie_blip
106,14,susie_blip
107,19,susie_blip
108,21,susie_blip
109,7,susie_blip
110,1,susie_blip
111,13,susie_blip
112,20,susie_blip
113,6,susie_blip
114,20,susie_blip
115,14,susie_blip
116,11,susie_blip
117,14,susie_blip
118,6,susie_blip
119,22,susie_blip
120,8,susie_blip
121,24,susie_blip
122,1,susie_blip
123,2,susie_blip
124,1,susie_blip
125,7,susie_blip
126,2,susie_blip
127,24,susie_blip
128,4,susie_blip
129,3,susie_blip
130,1,susie_blip
131,11,susie_blip
132,1,susie_blip
133,1,susie_blip
134,1,susie_blip
135,1,susie_blip
136,24,susie_blip
137,1,susie_blip
138,9,susie_blip
139,2,susie_blip
140,2,susie_blip
141,12,susie_blip
142,1,susie_blip
143,25,susie_blip
144,24,susie_blip
145,25,susie_blip
146,5,susie_blip
147,2,susie_blip
148,1,susie_blip
149,3,susie_blip
150,15,susie_blip
151,1,susie_blip
152,16,susie_blip
153,14,susie_blip
154,6,susie_blip
155,1,susie_blip
156,9,susie_blip
157,8,susie_blip
158,13,susie_blip
159,4,susie_blip
160,1,susie_blip
161,2,susie_blip
162,2,susie_blip
163,4,susie_blip
164,2,susie_blip
165,1,susie_blip
166,3,susie_blip
167,3,susie_blip
168,2,susie_blip
169,3,susie_blip
170,3,susie_blip
171,1,susie_blip
172,6,susie_blip
173,1,susie_blip
174,1,susie_blip
175,2,susie_blip
176,1,susie_blip
177,1,susie_blip
178,1,susie_blip
179,2,susie_blip
180,2,susie_blip
181,4,susie_blip
0,6,susie
1,3,susie
2,1,susie
3,2,susie
4,3,susie
5,6,susie
6,1,susie
7,6,susie
8,7,susie
9,2,susie
10,3,susie
11,4,susie
12,2,susie
13,12,susie
14,2,susie
15,2,susie
16,9,susie
17,18,susie
18,1,susie
19,7,susie
20,1,susie
21,1,susie
22,1,susie
23,1,susie
24,2,susie
25,10,susie
26,4,susie
27,2,susie
28,6,susie
29,2,susie
30,2,susie
31,4,susie
32,3,susie
33,2,susie
34,2,susie
35,16,susie
36,15,susie
37,13,susie
38,1,susie
39,5,susie
40,1,susie
41,6,susie
42,7,susie
43,14,susie
44,1,susie
45,8,susie
46,13,susie
47,1,susie
48,14,susie
49,9,susie
50,3,susie
51,4,susie
52,5,susie
53,6,susie
54,19,susie
55,2,susie
56,1,susie
57,14,susie
58,5,susie
59,13,susie
60,2,susie
61,4,susie
62,3,susie
63,9,susie
64,2,susie
65,5,susie
66,3,susie
67,24,susie
68,20,susie
69,5,susie
70,11,susie
71,7,susie
72,2,susie
73,8,susie
74,3,susie
75,11,susie
76,9,susie
77,1,susie
78,5,susie
79,1,susie
80,2,susie
81,1,susie
82,3,susie
83,6,susie
84,3,susie
85,3,susie
86,24,susie
87,17,susie
88,13,susie
89,10,susie
90,13,susie
91,6,susie
92,1,susie
93,18,susie
94,21,susie
95,1,susie
96,2,susie
97,2,susie
98,7,susie
99,21,susie
100,7,susie
101,22,susie
102,9,susie
103,16,susie
104,3,susie
105,19,susie
106,8,susie
107,5,susie
108,5,susie
109,6,susie
110,11,susie
111,6,susie
112,6,susie
113,20,susie
114,9,susie
115,5,susie
116,2,susie
117,3,susie
118,13,susie
119,3,susie
120,1,susie
121,7,susie
122,1,susie
123,1,susie
124,18,susie
125,3,susie
126,1,susie
127,1,susie
128,20,susie
129,3,susie
130,4,susie
131,1,susie
132,1,susie
133,3,susie
134,2,susie
135,1,susie
136,6,susie
137,8,susie
138,1,susie
139,2,susie
140,2,susie
141,1,susie
142,1,susie
143,1,susie
144,1,susie
145,14,susie
146,1,susie
147,15,susie
148,3,susie
149,3,susie
150,2,susie
151,2,susie
152,1,susie
153,24,susie
154,9,susie
155,24,susie
0,1,susie-indiv-only
1,1,susie-indiv-only
2,1,susie-indiv-only
3,1,susie-indiv-only
4,1,susie-indiv-only
5,1,susie-indiv-only
6,1,susie-indiv-only
7,1,susie-indiv-only
8,1,susie-indiv-only
9,1,susie-indiv-only
10,1,susie-indiv-only
11,1,susie-indiv-only
12,1,susie-indiv-only
13,1,susie-indiv-only
14,1,susie-indiv-only
15,1,susie-indiv-only
16,1,susie-indiv-only
17,1,susie-indiv-only
18,1,susie-indiv-only
19,1,susie-indiv-only
20,1,susie-indiv-only
21,1,susie-indiv-only
22,1,susie-indiv-only
23,1,susie-indiv-only
24,1,susie-indiv-only
25,1,susie-indiv-only
26,1,susie-indiv-only
27,1,susie-indiv-only
28,1,susie-indiv-only
29,1,susie-indiv-only
30,1,susie-indiv-only
31,1,susie-indiv-only
32,1,susie-indiv-only
33,1,susie-indiv-only
34,1,susie-indiv-only
35,1,susie-indiv-only
36,1,susie-indiv-only
37,1,susie-indiv-only
38,1,susie-indiv-only
39,1,susie-indiv-only
40,1,susie-indiv-only
41,1,susie-indiv-only
42,1,susie-indiv-only
43,1,susie-indiv-only
44,1,susie-indiv-only
45,1,susie-indiv-only
46,1,susie-indiv-only
47,1,susie-indiv-only
48,1,susie-indiv-only
49,1,susie-indiv-only
